relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
381,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
464,file_io,AssetManager.open,"{""path"": ""rates.json""}"
476,storage,SharedPreferences.getInt,"{""key"": ""countryIndex""}"
485,storage,SharedPreferences.getInt,"{""key"": ""countryIndex""}"
493,storage,SharedPreferences.getInt,"{""key"": ""rateIndex""}"
3933,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
12508,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
21155,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
29757,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
38403,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
64837,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
66363,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
67773,file_io,File.delete,"{""path"": ""/data/user/0/biz.binarysolutions.vatcalculator/files/profileInstalled""}"
75011,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
83593,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
92153,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
100705,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
122807,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
124362,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
125715,file_io,File.delete,"{""path"": ""/data/user/0/biz.binarysolutions.vatcalculator/files/profileInstalled""}"
133009,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
141692,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
150271,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
174636,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
174653,file_io,AssetManager.open,"{""path"": ""rates.json""}"
174654,storage,SharedPreferences.getInt,"{""key"": ""countryIndex""}"
174669,storage,SharedPreferences.getInt,"{""key"": ""countryIndex""}"
174669,storage,SharedPreferences.getInt,"{""key"": ""rateIndex""}"
183204,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
233170,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
292645,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
304554,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
352146,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
368242,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
422828,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
