relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
437,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
438,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3962,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3963,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3984,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3986,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
4156,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
4161,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
7033,file_io,File.delete,"{""path"": ""/data/user/0/bluepie.ad_silence/shared_prefs/W.xml.bak""}"
7045,storage,SharedPreferences.apply,{}
9961,file_io,File.delete,"{""path"": ""/data/user/0/bluepie.ad_silence/shared_prefs/W.xml.bak""}"
9962,storage,SharedPreferences.apply,{}
12969,file_io,File.delete,"{""path"": ""/data/user/0/bluepie.ad_silence/shared_prefs/W.xml.bak""}"
12970,storage,SharedPreferences.apply,{}
15887,file_io,File.delete,"{""path"": ""/data/user/0/bluepie.ad_silence/shared_prefs/W.xml.bak""}"
15887,storage,SharedPreferences.apply,{}
18851,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18852,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18855,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18855,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21700,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21701,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21701,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21701,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24535,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24536,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24553,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24554,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27387,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27389,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27393,storage,SharedPreferences.getString,"{""key"": ""CustomApps""}"
27400,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27400,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27400,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27404,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27532,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27532,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
30380,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
30381,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
30392,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
30393,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
30401,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
30402,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
30402,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
30402,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
33456,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
33461,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
33476,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
33500,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
81227,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
82732,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
82738,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
82831,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
82854,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
82863,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
82867,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
82938,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
82944,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
85798,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
85803,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
85814,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
85819,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
88614,file_io,File.delete,"{""path"": ""/data/user/0/bluepie.ad_silence/shared_prefs/W.xml.bak""}"
88629,storage,SharedPreferences.apply,{}
94265,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
94270,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
94289,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
94294,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
97612,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
97617,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
97627,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
97633,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
100388,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
100398,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
100409,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
100419,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
103200,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
103208,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
103222,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
103229,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
107192,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
107197,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
107211,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
107216,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
110010,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
110015,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
110026,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
110030,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
113997,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
114002,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
114013,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
114019,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
116778,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
116780,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
116782,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
116782,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
120711,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
120713,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
