relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
286,storage,SharedPreferences.apply,{}
3965,storage,SharedPreferences.apply,{}
10088,ipc_intents,Context.startService,"{""action"": ""android.intent.action.ASSIST"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.assist.AssistJammerService""}"
10573,storage,SharedPreferences.apply,{}
10606,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
20736,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
20737,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
20759,native_code,System.loadLibrary,"{""library"": ""audioeffect_jni""}"
20893,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
20894,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
26539,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
26539,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
26547,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
26671,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
26679,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
32344,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
32351,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
32445,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
32460,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38233,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38239,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
38255,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
38433,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
38434,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
44117,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
44118,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
44255,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
44255,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
49952,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
49953,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
49965,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
50105,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
50106,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
55790,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
55790,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
55928,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
55929,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
61617,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
61617,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
61631,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
61736,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
61737,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
67425,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
67425,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
67577,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
67587,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
73261,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
73269,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
73286,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
73393,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
73410,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
79132,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
79139,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
79229,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
79241,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
85007,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
85013,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
85030,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
85141,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
85158,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
90895,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
90904,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
91007,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
91020,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
96837,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
96844,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
96857,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
97018,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
97020,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
102771,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
102772,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
102911,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
102911,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
108624,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
108625,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
108632,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
108732,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
108733,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
114425,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
114426,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
114578,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
114590,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
120289,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
120299,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
120312,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
120490,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
120503,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
126194,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
126203,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
126293,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
126307,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
132081,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
132089,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
132102,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
132259,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
132271,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
137986,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
137996,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
138089,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
138098,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
143886,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
143887,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
143899,ipc_intents,Context.startService,"{""action"": ""cityfreqs.com.pilfershushjammer.action.STOP_ACTIVE"", ""target"": ""cityfreqs.com.pilfershushjammer/cityfreqs.com.pilfershushjammer.jammers.ActiveJammerService""}"
143963,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
143967,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
149610,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
149618,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
149706,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
149716,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
172450,storage,SharedPreferences.apply,{}
172559,file_io,File.delete,"{""path"": ""/data/user/0/cityfreqs.com.pilfershushjammer/shared_prefs/cityfreqs.com.pilfershushjammer_preferences.xml.bak""}"
179266,storage,SharedPreferences.apply,{}
179822,storage,SharedPreferences.apply,{}
179860,reflection,Method.invoke,"{""class"": ""java.util.Random"", ""method"": ""writeObject""}"
183435,storage,SharedPreferences.apply,{}
183912,storage,SharedPreferences.apply,{}
