relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
372,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
394,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
10318,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
13398,reflection,Method.invoke,"{""class"": ""a2.b"", ""method"": ""values""}"
13431,camera,CameraManager.openCamera,"{""cameraId"": ""0""}"
13469,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
67615,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
118682,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
169553,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
171119,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
171684,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
173345,reflection,Method.invoke,"{""class"": ""io.flutter.plugins.GeneratedPluginRegistrant"", ""method"": ""registerWith""}"
173580,storage,SharedPreferences.putString,"{""key"": ""defaultIcon""}"
173586,storage,SharedPreferences.apply,{}
173596,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
175791,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
175799,storage,SharedPreferences.putString,"{""key"": ""flutter.model""}"
234143,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
299195,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
351118,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
415855,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
