relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
339,storage,SharedPreferences.getString,"{""key"": ""prefTheme""}"
342,storage,SharedPreferences.getString,"{""key"": ""prefThemeBase""}"
355,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
360,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT date FROM hours WHERE edit IS NOT 1  ORDER BY _id DESC LIMIT 1""}"
369,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT startSteps FROM hours WHERE edit IS NOT 1  ORDER BY _id DESC LIMIT 1""}"
371,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT date FROM hours WHERE edit IS NOT 1  ORDER BY _id DESC LIMIT 1""}"
374,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT startSteps FROM hours WHERE edit IS NOT 1  ORDER BY _id DESC LIMIT 1""}"
383,storage,SharedPreferences.getString,"{""key"": ""prefFirstDayOfWeek""}"
389,ipc_intents,Context.startService,"{""action"": null, ""target"": ""ca.chancehorizon.paseo/ca.chancehorizon.paseo.background.StepCounterService""}"
401,storage,SharedPreferences.getString,"{""key"": ""prefLastTimeUnit""}"
401,storage,SharedPreferences.getString,"{""key"": ""prefFirstDayOfWeek""}"
404,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT SUM(endSteps - startSteps) AS sumSteps,  CAST(STRFTIME('%W', DATE(SUBSTR(date, 1, 4) || '-' || SUBSTR(date, 5, 2) || '-' || SUBSTR(date, 7, 2), \""+1 day\"")) AS int) AS week  FROM hours WHERE week""}"
407,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT SUM(endSteps - startSteps) AS sumSteps,  CAST(SUBSTR(date, 5, 2) AS INT) AS month  FROM hours WHERE month = SUBSTR(20260715, 5, 2)  AND SUBSTR(date, 1, 4) = '2026' GROUP BY month ""}"
409,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT SUM(endSteps - startSteps) AS sumSteps,  CAST(SUBSTR(date, 1, 4) AS INT) AS year  FROM hours WHERE year = SUBSTR(20260715, 1, 4)  GROUP BY year ""}"
414,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
415,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
416,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
417,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
418,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
418,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
419,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
422,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
424,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
427,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
427,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
427,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
427,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getViewRootImpl""}"
582,ipc_intents,Context.sendBroadcast,"{""action"": ""restartservice"", ""target"": ""ca.chancehorizon.paseo/ca.chancehorizon.paseo.background.Restarter""}"
600,ipc_intents,Context.bindService,"{""action"": ""android.intent.action.TTS_SERVICE"", ""flags"": 1, ""target"": ""android.intent.action.TTS_SERVICE""}"
610,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT SUM(endSteps - startSteps) AS sumSteps  FROM hours WHERE date = 20260715 GROUP BY date""}"
615,notifications,NotificationManager.notifyAsUser,"{""id"": 1001, ""tag"": null}"
652,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT SUM(endSteps - startSteps) AS sumSteps  FROM hours WHERE date = 20260715 GROUP BY date""}"
659,notifications,NotificationManager.notifyAsUser,"{""id"": 1001, ""tag"": null}"
663,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
663,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
664,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
664,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
667,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
667,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
668,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
669,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
671,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
672,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
673,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
674,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
679,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
684,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
685,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
687,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
690,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
690,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
695,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
697,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
697,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
697,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
697,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
697,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
697,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
698,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
698,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
698,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
698,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
698,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
698,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
699,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
699,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
699,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
701,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
704,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
706,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
707,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
708,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
709,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
709,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
709,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
709,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
709,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
709,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
710,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
711,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
711,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
711,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
711,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
711,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
711,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
712,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
712,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
712,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
712,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
716,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
716,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
718,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
721,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
724,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
724,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
725,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
726,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
727,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
727,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
727,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
727,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
727,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
734,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
735,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
736,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
738,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
739,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
749,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
750,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
751,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
751,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
753,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
754,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
755,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
755,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
756,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
757,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
758,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
763,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
767,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
767,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
769,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
770,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
774,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
774,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
780,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
782,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
783,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
783,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
785,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
787,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
788,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
789,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
792,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
794,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
795,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
796,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
797,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
798,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
800,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
801,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
802,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
804,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
809,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
812,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
813,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
814,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
816,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
817,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
819,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
820,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
821,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
822,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
823,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
825,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
826,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
826,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
828,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
829,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
830,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
831,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
832,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
833,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
835,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
835,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
837,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
838,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
839,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
840,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
851,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
853,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
855,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
857,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
861,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
862,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
863,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
865,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
866,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
867,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
869,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
869,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
871,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
871,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
873,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
874,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
874,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
875,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
875,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
875,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
875,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
875,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
875,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
876,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
876,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
876,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
876,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
876,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
878,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
879,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
881,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
882,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
883,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
884,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
885,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
886,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
889,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
890,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
895,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
895,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
897,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
897,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
898,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
899,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
901,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
902,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
904,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
905,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readResolve""}"
905,reflection,Method.invoke,"{""class"": ""java.util.Locale"", ""method"": ""readObject""}"
