relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
400,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
433,storage,SharedPreferences.getString,"{""key"": ""theme""}"
462,ipc_intents,Context.startService,"{""action"": ""ui"", ""target"": ""app.prav.client/eu.siacs.conversations.services.XmppConnectionService""}"
479,ipc_intents,Context.bindService,"{""action"": ""ui"", ""flags"": 1, ""target"": ""app.prav.client/eu.siacs.conversations.services.XmppConnectionService""}"
507,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
514,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
520,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
550,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
55303,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
58708,file_io,File.delete,"{""path"": ""/data/user/0/app.prav.client/files/profileInstalled""}"
114050,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
117233,file_io,File.delete,"{""path"": ""/data/user/0/app.prav.client/files/profileInstalled""}"
172771,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
196336,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
196387,storage,SharedPreferences.getString,"{""key"": ""theme""}"
196413,ipc_intents,Context.startService,"{""action"": ""ui"", ""target"": ""app.prav.client/eu.siacs.conversations.services.XmppConnectionService""}"
196432,ipc_intents,Context.bindService,"{""action"": ""ui"", ""flags"": 1, ""target"": ""app.prav.client/eu.siacs.conversations.services.XmppConnectionService""}"
196457,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
196465,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
196477,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
196497,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
248848,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
250349,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
250351,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_PR""}"
250353,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_PS""}"
250360,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_PT""}"
250361,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_PW""}"
250362,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_PY""}"
250366,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_QA""}"
250366,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AC""}"
250367,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AD""}"
250367,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AE""}"
250369,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AF""}"
250369,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AG""}"
250371,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AI""}"
250372,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AL""}"
250373,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AM""}"
250373,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AO""}"
250374,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AR""}"
250375,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AS""}"
250376,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AT""}"
250376,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_RE""}"
250378,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AU""}"
250378,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AW""}"
250379,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AX""}"
250380,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_AZ""}"
250381,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_RO""}"
250382,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BA""}"
250382,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BB""}"
250384,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_RS""}"
250385,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BD""}"
250385,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_RU""}"
250386,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BE""}"
250387,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BF""}"
250388,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_RW""}"
250389,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BG""}"
250390,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BH""}"
250390,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BI""}"
250391,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BJ""}"
250393,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BL""}"
250394,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BM""}"
250395,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BN""}"
250395,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BO""}"
250396,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SA""}"
250397,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BQ""}"
250398,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SB""}"
250398,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BR""}"
250399,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SC""}"
250399,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BS""}"
250400,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SD""}"
250402,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SE""}"
250403,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BT""}"
250404,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SG""}"
250404,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BW""}"
250405,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SH""}"
250406,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SI""}"
250408,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SJ""}"
250408,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BY""}"
250409,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SK""}"
250410,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_BZ""}"
250411,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SL""}"
250411,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SM""}"
250412,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SN""}"
250413,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SO""}"
250413,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_CA""}"
250415,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SR""}"
250415,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_CC""}"
250416,file_io,AssetManager.open,"{""path"": ""io/michaelrocks/libphonenumber/android/data/PhoneNumberMetadataProto_SS""}"
