relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
25656,native_code,System.loadLibrary,"{""library"": ""dartjni""}"
75169,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
76165,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.RandomReceiver""}"
76167,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.MemoryReceiver""}"
135587,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
136449,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.RandomReceiver""}"
136463,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.MemoryReceiver""}"
205229,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
206197,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.RandomReceiver""}"
206209,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.MemoryReceiver""}"
266895,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
267917,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.RandomReceiver""}"
267939,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.MemoryReceiver""}"
329931,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
330868,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.RandomReceiver""}"
330884,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.MemoryReceiver""}"
406176,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
407174,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.RandomReceiver""}"
407187,ipc_intents,Context.sendBroadcast,"{""action"": ""android.appwidget.action.APPWIDGET_UPDATE"", ""target"": ""app.alextran.immich/app.alextran.immich.widget.MemoryReceiver""}"
