relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
346,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
387,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
388,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3886,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3887,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
3974,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
3975,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
6966,storage,SharedPreferences.getString,"{""key"": ""profiles""}"
6974,storage,SharedPreferences.getString,"{""key"": ""history""}"
16070,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16070,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
16135,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16136,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18858,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18859,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18924,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18925,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21674,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21681,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
21763,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
21776,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24527,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24534,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
24612,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
24627,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27348,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27355,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
27440,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
27455,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31348,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31357,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
31439,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
31458,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
34172,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
34179,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
