relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
15736,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
15745,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
15805,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
15821,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18695,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18704,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
18751,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
18764,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
22070,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
22070,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
22081,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
22082,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25573,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
25574,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
25583,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
25584,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
29090,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
29091,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
29099,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
29100,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
33738,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
33740,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
33771,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
33784,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
36658,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
36665,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
36715,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
36731,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
41182,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
41189,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
41247,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
41255,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
44081,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
44089,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
44116,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
