relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
373,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
399,network,URL.openConnection,"{""url"": ""https://raw.githubusercontent.com/vbresan/MindfulnessMeditation/master/meditations.csv""}"
412,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
412,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
423,storage,SharedPreferences.getInt,"{""key"": ""preferences_key_karma_count""}"
426,storage,SharedPreferences.getInt,"{""key"": ""preferences_key_streak_count""}"
475,file_io,File.delete,"{""path"": ""/data/user/0/biz.binarysolutions.mindfulnessmeditation/shared_prefs/biz.binarysolutions.mindfulnessmeditation_achievements.xml.bak""}"
16855,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
16855,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
67113,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
70058,file_io,File.delete,"{""path"": ""/data/user/0/biz.binarysolutions.mindfulnessmeditation/files/profileInstalled""}"
87898,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
87911,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
129492,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
132422,file_io,File.delete,"{""path"": ""/data/user/0/biz.binarysolutions.mindfulnessmeditation/files/profileInstalled""}"
146745,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
146746,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
175424,reflection,Method.invoke,"{""class"": ""android.view.ViewGroup"", ""method"": ""makeOptionalFitsSystemWindows""}"
175453,network,URL.openConnection,"{""url"": ""https://raw.githubusercontent.com/vbresan/MindfulnessMeditation/master/meditations.csv""}"
175455,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getElevation""}"
175456,reflection,Method.invoke,"{""class"": ""android.view.View"", ""method"": ""getTranslationZ""}"
175459,storage,SharedPreferences.getInt,"{""key"": ""preferences_key_karma_count""}"
175475,storage,SharedPreferences.getInt,"{""key"": ""preferences_key_streak_count""}"
175490,file_io,File.delete,"{""path"": ""/data/user/0/biz.binarysolutions.mindfulnessmeditation/shared_prefs/biz.binarysolutions.mindfulnessmeditation_achievements.xml.bak""}"
221406,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
275467,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
331362,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
385713,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
440045,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
