hook_name,target_class,target_method,category,fired_in_v2_corpus,v2_state,hook_script_line
hook_loaded,(Frida Java.perform callback),n/a,lifecycle,yes,implemented_and_exercised,50
SmsManager.sendTextMessage,android.telephony.SmsManager,sendTextMessage,sms,no,implemented_but_not_exercised,98
SmsManager.sendMultipartTextMessage,android.telephony.SmsManager,sendMultipartTextMessage,sms,no,implemented_but_not_exercised,116
URL.openConnection,java.net.URL,openConnection,network,yes,implemented_and_exercised,128
HttpURLConnection.connect,java.net.HttpURLConnection,connect,network,no,implemented_but_not_exercised,137
okhttp3.RealCall.execute,okhttp3.RealCall,execute,network,yes,implemented_and_exercised,147
FileOutputStream.<init>,java.io.FileOutputStream,<init>,file_io,no,implemented_but_not_exercised,159
FileInputStream.<init>,java.io.FileInputStream,<init>,file_io,yes,implemented_and_exercised,168
File.delete,java.io.File,delete,file_io,yes,implemented_and_exercised,177
Cipher.getInstance,javax.crypto.Cipher,getInstance,crypto,no,implemented_but_not_exercised,185
SecretKeySpec.<init>,javax.crypto.spec.SecretKeySpec,<init>,crypto,yes,implemented_and_exercised,194
Method.invoke,java.lang.reflect.Method,invoke,reflection,yes,implemented_and_exercised,205
Runtime.exec,java.lang.Runtime,exec,process,yes,implemented_and_exercised,214
ProcessBuilder.start,java.lang.ProcessBuilder,start,process,yes,implemented_and_exercised,229
ContentResolver.query,android.content.ContentResolver,query,content_access,yes,implemented_and_exercised,251
ContentResolver.insert,android.content.ContentResolver,insert,content_access,yes,implemented_and_exercised,278
ContentResolver.update,android.content.ContentResolver,update,content_access,yes,implemented_and_exercised,292
ContentResolver.delete,android.content.ContentResolver,delete,content_access,yes,implemented_and_exercised,305
ClipboardManager.setPrimaryClip,android.content.ClipboardManager,setPrimaryClip,clipboard,no,implemented_but_not_exercised,322
Camera.open,android.hardware.Camera,open,camera,no,implemented_but_not_exercised,331
CameraManager.openCamera,android.hardware.camera2.CameraManager,openCamera,camera,yes,implemented_and_exercised,344
PackageManager.getInstalledPackages,android.app.ApplicationPackageManager,getInstalledPackages,package_manager,yes,implemented_and_exercised,355
PackageManager.getInstalledApplications,android.app.ApplicationPackageManager,getInstalledApplications,package_manager,no,implemented_but_not_exercised,364
LocationManager.requestLocationUpdates,android.location.LocationManager,requestLocationUpdates,location,yes,implemented_and_exercised,378
TelephonyManager.getDeviceId,android.telephony.TelephonyManager,getDeviceId,device_info,no,implemented_but_not_exercised,391
TelephonyManager.getSubscriberId,android.telephony.TelephonyManager,getSubscriberId,device_info,no,implemented_but_not_exercised,400
TelephonyManager.getSimSerialNumber,android.telephony.TelephonyManager,getSimSerialNumber,device_info,no,implemented_but_not_exercised,409
TelephonyManager.getCallState,android.telephony.TelephonyManager,getCallState,telephony,no,implemented_but_not_exercised,418
