metric,D1_trained_RAW_L2,random_init_RAW_Linf,D1_artifact,random_init_artifact
nested_bootstrap_point_auc_floor,0.800426,0.816097,ocdev/validation/check1_bias/bias_stats.json,d1_randominit_controls/summary.json
nested_bootstrap_ci95,"[0.757224, 0.815440]","[0.802359, 0.820292]",,
nested_bootstrap_bias,-0.002767,-0.001738,,
nested_point_inside_ci,True,True,,
point_auc_floor,0.800426,0.816097,,
paired_bootstrap_diff_ci95,—,"[-0.047346, 0.015830]",,
delong_p,—,0.340334,,
spearman_rho_scores,0.842461,0.842461,,
spearman_rho_mapped_event_count,-0.167944,-0.094004,task1/table_a4,
spearman_rho_total_event_count,0.278942,0.148865,task1/table_a4,
spearman_rho_edge_count,0.103886,0.051857,task1/table_a4,
spearman_rho_graph_density,0.103886,0.051857,task1/table_a4,
spearman_rho_distinct_active_categories,0.085446,0.030638,task1/table_a4,
spearman_rho_active_nodes,0.085546,0.031425,task1/table_a4,
max_abs_rho_table_a4,0.278942,0.148865,,
residualisation_R2,0.000029,0.000689,,
residualised_auc_floor,0.804802,0.811744,,
tercile_T1_low_auc_floor,0.784880,0.803122,,
tercile_T2_mid_auc_floor,0.795747,0.828662,,
tercile_T3_high_auc_floor,0.854213,0.773817,,
benign_holdout_pooled_auc_floor,0.788885,0.778990,,
benign_holdout_ci95,"[0.764212, 0.813999]","[0.751496, 0.805158]",,
benign_holdout_folds_inverted,0,0,,
shuffled_labels_auc_floor,0.504937,0.501521,,
ablation_top1_delta,0.208978 (ipc_intents),0.238452 (ipc_intents),,
ablation_top2_delta,0.002528 (network),0.000465 (network),,
linf_ipc_intents_fraction,—,0.990766,,
operating_fpr_at_target_0.01,0.007092,0.007092,,
operating_tpr_at_fpr_0.01,0.002353,0.003529,,
operating_wild_precision_pi_0.01,0.003340,0.005002,,
