profile,coord_set,n_coords,alpha0,statistic,auc_floor,ci95_floor_lo,ci95_floor_hi,direction,clears_floor,delta_vs_D1_L2,delta_vs_ipc_univariate,ref_D1_L2,ref_ipc_univariate,ref_mapped_event_floor
trained_t22,all_22,22,0.25,HC,0.507808,0.500895,0.545840,malware_higher_score,False,-0.292618,-0.285384,0.800426,0.793191,0.7025
trained_t22,all_22,22,0.25,HC_rank,0.508974,0.500782,0.546152,malware_higher_score,False,-0.291452,-0.284218,0.800426,0.793191,0.7025
trained_t22,all_22,22,,MIN_P,0.540960,0.502457,0.597612,malware_higher_score,False,-0.259466,-0.252232,0.800426,0.793191,0.7025
trained_t22,all_22,22,,FISHER,0.649796,0.596555,0.702133,malware_higher_score,False,-0.150630,-0.143396,0.800426,0.793191,0.7025
trained_t22,all_22,22,,STOUFFER,0.578490,0.525313,0.635564,malware_higher_score,False,-0.221936,-0.214702,0.800426,0.793191,0.7025
trained_t22,all_22,22,,BERK_JONES,0.586329,0.546169,0.626657,malware_higher_score,False,-0.214097,-0.206863,0.800426,0.793191,0.7025
trained_t22,all_22,22,,BONFERRONI,0.519007,0.500770,0.558115,benign_higher_score,False,-0.281418,-0.274184,0.800426,0.793191,0.7025
trained_t22,all_22,22,0.5,HC,0.503611,0.500663,0.544131,malware_higher_score,False,-0.296815,-0.289581,0.800426,0.793191,0.7025
trained_t22,all_22,22,0.5,HC_rank,0.504337,0.500626,0.544331,malware_higher_score,False,-0.296089,-0.288855,0.800426,0.793191,0.7025
trained_t22,all_22,22,,MIN_P,0.540960,0.502457,0.597612,malware_higher_score,False,-0.259466,-0.252232,0.800426,0.793191,0.7025
trained_t22,all_22,22,,FISHER,0.649796,0.596555,0.702133,malware_higher_score,False,-0.150630,-0.143396,0.800426,0.793191,0.7025
trained_t22,all_22,22,,STOUFFER,0.578490,0.525313,0.635564,malware_higher_score,False,-0.221936,-0.214702,0.800426,0.793191,0.7025
trained_t22,all_22,22,,BERK_JONES,0.586329,0.546169,0.626657,malware_higher_score,False,-0.214097,-0.206863,0.800426,0.793191,0.7025
trained_t22,all_22,22,,BONFERRONI,0.519007,0.500770,0.558115,benign_higher_score,False,-0.281418,-0.274184,0.800426,0.793191,0.7025
trained_t22,all_22,22,1.0,HC,0.501489,0.500705,0.543253,malware_higher_score,False,-0.298936,-0.291702,0.800426,0.793191,0.7025
trained_t22,all_22,22,1.0,HC_rank,0.508373,0.500665,0.546565,malware_higher_score,False,-0.292053,-0.284819,0.800426,0.793191,0.7025
trained_t22,all_22,22,,MIN_P,0.540960,0.502457,0.597612,malware_higher_score,False,-0.259466,-0.252232,0.800426,0.793191,0.7025
trained_t22,all_22,22,,FISHER,0.649796,0.596555,0.702133,malware_higher_score,False,-0.150630,-0.143396,0.800426,0.793191,0.7025
trained_t22,all_22,22,,STOUFFER,0.578490,0.525313,0.635564,malware_higher_score,False,-0.221936,-0.214702,0.800426,0.793191,0.7025
trained_t22,all_22,22,,BERK_JONES,0.586329,0.546169,0.626657,malware_higher_score,False,-0.214097,-0.206863,0.800426,0.793191,0.7025
trained_t22,all_22,22,,BONFERRONI,0.519007,0.500770,0.558115,benign_higher_score,False,-0.281418,-0.274184,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,0.25,HC,0.507808,0.500895,0.545840,malware_higher_score,False,-0.292618,-0.285384,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,0.25,HC_rank,0.508974,0.500782,0.546152,malware_higher_score,False,-0.291452,-0.284218,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,MIN_P,0.540960,0.502457,0.597612,malware_higher_score,False,-0.259466,-0.252232,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,FISHER,0.649796,0.596555,0.702133,malware_higher_score,False,-0.150630,-0.143396,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,STOUFFER,0.578490,0.525313,0.635564,malware_higher_score,False,-0.221936,-0.214702,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,BERK_JONES,0.586329,0.546169,0.626657,malware_higher_score,False,-0.214097,-0.206863,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,BONFERRONI,0.519007,0.500770,0.558115,benign_higher_score,False,-0.281418,-0.274184,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,0.5,HC,0.503611,0.500663,0.544131,malware_higher_score,False,-0.296815,-0.289581,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,0.5,HC_rank,0.504337,0.500626,0.544331,malware_higher_score,False,-0.296089,-0.288855,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,MIN_P,0.540960,0.502457,0.597612,malware_higher_score,False,-0.259466,-0.252232,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,FISHER,0.649796,0.596555,0.702133,malware_higher_score,False,-0.150630,-0.143396,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,STOUFFER,0.578490,0.525313,0.635564,malware_higher_score,False,-0.221936,-0.214702,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,BERK_JONES,0.586329,0.546169,0.626657,malware_higher_score,False,-0.214097,-0.206863,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,BONFERRONI,0.519007,0.500770,0.558115,benign_higher_score,False,-0.281418,-0.274184,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,1.0,HC,0.501489,0.500705,0.543253,malware_higher_score,False,-0.298936,-0.291702,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,1.0,HC_rank,0.508373,0.500665,0.546565,malware_higher_score,False,-0.292053,-0.284819,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,MIN_P,0.540960,0.502457,0.597612,malware_higher_score,False,-0.259466,-0.252232,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,FISHER,0.649796,0.596555,0.702133,malware_higher_score,False,-0.150630,-0.143396,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,STOUFFER,0.578490,0.525313,0.635564,malware_higher_score,False,-0.221936,-0.214702,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,BERK_JONES,0.586329,0.546169,0.626657,malware_higher_score,False,-0.214097,-0.206863,0.800426,0.793191,0.7025
trained_t22,nondegenerate,22,,BONFERRONI,0.519007,0.500770,0.558115,benign_higher_score,False,-0.281418,-0.274184,0.800426,0.793191,0.7025
random_init_t22,all_22,22,0.25,HC,0.626773,0.581230,0.671656,malware_higher_score,False,-0.173652,-0.166418,0.800426,0.793191,0.7025
random_init_t22,all_22,22,0.25,HC_rank,0.635632,0.592334,0.679197,malware_higher_score,False,-0.164793,-0.157559,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,MIN_P,0.639668,0.577519,0.702165,malware_higher_score,False,-0.160757,-0.153523,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,FISHER,0.713492,0.666482,0.759487,malware_higher_score,True,-0.086934,-0.079700,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,STOUFFER,0.688748,0.644327,0.734419,malware_higher_score,False,-0.111677,-0.104443,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,BERK_JONES,0.610582,0.564624,0.659496,benign_higher_score,False,-0.189844,-0.182610,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,BONFERRONI,0.509869,0.500921,0.548953,benign_higher_score,False,-0.290557,-0.283323,0.800426,0.793191,0.7025
random_init_t22,all_22,22,0.5,HC,0.633392,0.589686,0.676756,malware_higher_score,False,-0.167034,-0.159800,0.800426,0.793191,0.7025
random_init_t22,all_22,22,0.5,HC_rank,0.642975,0.601749,0.684673,malware_higher_score,False,-0.157451,-0.150217,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,MIN_P,0.639668,0.577519,0.702165,malware_higher_score,False,-0.160757,-0.153523,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,FISHER,0.713492,0.666482,0.759487,malware_higher_score,True,-0.086934,-0.079700,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,STOUFFER,0.688748,0.644327,0.734419,malware_higher_score,False,-0.111677,-0.104443,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,BERK_JONES,0.610582,0.564624,0.659496,benign_higher_score,False,-0.189844,-0.182610,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,BONFERRONI,0.509869,0.500921,0.548953,benign_higher_score,False,-0.290557,-0.283323,0.800426,0.793191,0.7025
random_init_t22,all_22,22,1.0,HC,0.633780,0.589881,0.677269,malware_higher_score,False,-0.166646,-0.159412,0.800426,0.793191,0.7025
random_init_t22,all_22,22,1.0,HC_rank,0.643521,0.602448,0.685407,malware_higher_score,False,-0.156904,-0.149670,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,MIN_P,0.639668,0.577519,0.702165,malware_higher_score,False,-0.160757,-0.153523,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,FISHER,0.713492,0.666482,0.759487,malware_higher_score,True,-0.086934,-0.079700,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,STOUFFER,0.688748,0.644327,0.734419,malware_higher_score,False,-0.111677,-0.104443,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,BERK_JONES,0.610582,0.564624,0.659496,benign_higher_score,False,-0.189844,-0.182610,0.800426,0.793191,0.7025
random_init_t22,all_22,22,,BONFERRONI,0.509869,0.500921,0.548953,benign_higher_score,False,-0.290557,-0.283323,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,0.25,HC,0.626773,0.581230,0.671656,malware_higher_score,False,-0.173652,-0.166418,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,0.25,HC_rank,0.635632,0.592334,0.679197,malware_higher_score,False,-0.164793,-0.157559,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,MIN_P,0.639668,0.577519,0.702165,malware_higher_score,False,-0.160757,-0.153523,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,FISHER,0.713492,0.666482,0.759487,malware_higher_score,True,-0.086934,-0.079700,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,STOUFFER,0.688748,0.644327,0.734419,malware_higher_score,False,-0.111677,-0.104443,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,BERK_JONES,0.610582,0.564624,0.659496,benign_higher_score,False,-0.189844,-0.182610,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,BONFERRONI,0.509869,0.500921,0.548953,benign_higher_score,False,-0.290557,-0.283323,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,0.5,HC,0.633392,0.589686,0.676756,malware_higher_score,False,-0.167034,-0.159800,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,0.5,HC_rank,0.642975,0.601749,0.684673,malware_higher_score,False,-0.157451,-0.150217,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,MIN_P,0.639668,0.577519,0.702165,malware_higher_score,False,-0.160757,-0.153523,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,FISHER,0.713492,0.666482,0.759487,malware_higher_score,True,-0.086934,-0.079700,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,STOUFFER,0.688748,0.644327,0.734419,malware_higher_score,False,-0.111677,-0.104443,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,BERK_JONES,0.610582,0.564624,0.659496,benign_higher_score,False,-0.189844,-0.182610,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,BONFERRONI,0.509869,0.500921,0.548953,benign_higher_score,False,-0.290557,-0.283323,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,1.0,HC,0.633780,0.589881,0.677269,malware_higher_score,False,-0.166646,-0.159412,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,1.0,HC_rank,0.643521,0.602448,0.685407,malware_higher_score,False,-0.156904,-0.149670,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,MIN_P,0.639668,0.577519,0.702165,malware_higher_score,False,-0.160757,-0.153523,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,FISHER,0.713492,0.666482,0.759487,malware_higher_score,True,-0.086934,-0.079700,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,STOUFFER,0.688748,0.644327,0.734419,malware_higher_score,False,-0.111677,-0.104443,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,BERK_JONES,0.610582,0.564624,0.659496,benign_higher_score,False,-0.189844,-0.182610,0.800426,0.793191,0.7025
random_init_t22,nondegenerate,22,,BONFERRONI,0.509869,0.500921,0.548953,benign_higher_score,False,-0.290557,-0.283323,0.800426,0.793191,0.7025
