category,producible,raw_auc,raw_auc_floor,raw_direction,dev_auc,dev_auc_floor,dev_direction,delta_floor,direction_flipped
clipboard,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dynamic_code_loading,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sms,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
telephony,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ipc_intents,True,0.43749687108886104,0.562503128911139,benign_higher_score,0.7931914893617023,0.7931914893617023,malware_higher_score,0.2306883604505633,True
network,True,0.49973508552357115,0.5002649144764288,benign_higher_score,0.6326679182311223,0.6326679182311223,malware_higher_score,0.1324030037546935,True
camera,True,0.5,0.5,malware_higher_score,0.620700876095119,0.620700876095119,malware_higher_score,0.12070087609511904,False
content_access,True,0.4766124322069253,0.5233875677930747,benign_higher_score,0.6435857321652065,0.6435857321652065,malware_higher_score,0.12019816437213182,True
crypto,True,0.501697955778056,0.501697955778056,malware_higher_score,0.39634125990821867,0.6036587400917813,benign_higher_score,0.10196078431372535,True
media,True,0.47191906549853985,0.5280809345014601,benign_higher_score,0.3728306216103463,0.6271693783896537,benign_higher_score,0.0990884438881936,False
location,True,0.4933833959115561,0.5066166040884439,benign_higher_score,0.43340842720066747,0.5665915727993325,benign_higher_score,0.05997496871088859,False
audio,True,0.4961618690029203,0.5038381309970796,benign_higher_score,0.5630287859824781,0.5630287859824781,malware_higher_score,0.05919065498539844,True
native_code,True,0.5296850229453484,0.5296850229453484,malware_higher_score,0.5663642052565707,0.5663642052565707,malware_higher_score,0.03667918231122236,False
package_manager,True,0.4394409678765123,0.5605590321234877,benign_higher_score,0.5947329995828119,0.5947329995828119,malware_higher_score,0.03417396745932422,True
accounts,True,0.4937776387150605,0.5062223612849395,benign_higher_score,0.46074676679182314,0.5392532332081769,benign_higher_score,0.03303087192323739,False
notifications,True,0.4937421777221527,0.5062578222778473,benign_higher_score,0.5182478097622026,0.5182478097622026,malware_higher_score,0.011989987484355313,True
storage,True,0.4662578222778473,0.5337421777221527,benign_higher_score,0.5389486858573216,0.5389486858573216,malware_higher_score,0.005206508135168875,True
process,True,0.4504151022110972,0.5495848977889028,benign_higher_score,0.4612244472256987,0.5387755527743012,benign_higher_score,-0.010809345014601623,False
device_info,True,0.4587484355444305,0.5412515644555695,benign_higher_score,0.48139132248644145,0.5186086775135585,benign_higher_score,-0.022642886942010998,False
database,True,0.4346474760116812,0.5653525239883188,benign_higher_score,0.4904839382561535,0.5095160617438466,benign_higher_score,-0.05583646224447225,False
webview,True,0.6109219858156028,0.6109219858156028,malware_higher_score,0.453552357113058,0.546447642886942,benign_higher_score,-0.06447434292866072,True
file_io,True,0.6014038381309971,0.6014038381309971,malware_higher_score,0.4986503963287443,0.5013496036712557,benign_higher_score,-0.10005423445974138,True
