category,frac_nonzero_benign,frac_nonzero_malware,frac_nonzero_overall,n_nonzero_benign,n_nonzero_malware,n_apps_benign,n_apps_malware,n_distinct_train_benign_d1,n_distinct_train_benign_d1_nonzero,mean_act_count_nonzero_benign,median_act_count_nonzero_benign,mean_act_count_nonzero_malware,median_act_count_nonzero_malware,mean_act_count_nonzero_overall,median_act_count_nonzero_overall,total_mapped_events,train_benign_d1_sd
clipboard,0.0,0.0,0.0,0,0,703,1700,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0013253568164180796
sms,0.0,0.0,0.0,0,0,703,1700,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0022502640472183088
telephony,0.001422475106685633,0.0,0.0004161464835622139,1,0,703,1700,6,6,8.99999988079071,8.99999988079071,0.0,0.0,8.99999988079071,8.99999988079071,9,0.0010978525596450517
camera,0.005689900426742532,0.0,0.0016645859342488557,4,0,703,1700,12,12,3.0000000302679837,1.5000000419095159,0.0,0.0,3.0000000302679837,1.5000000419095159,12,0.0070920027847296485
audio,0.005689900426742532,0.000588235294117647,0.0020807324178110697,4,1,703,1700,10,10,5906.250159986317,38.49999987706542,8.000000259838998,8.000000259838998,4726.600128041022,27.999999288469553,23633,0.0060881037309532
dynamic_code_loading,0.0,0.0058823529411764705,0.004161464835622139,0,10,703,1700,3,3,0.0,0.0,5.700000037552672,1.49999996565748,5.700000037552672,1.49999996565748,57,0.0012728243204693979
accounts,0.012802275960170697,0.0017647058823529412,0.004993757802746567,9,3,703,1700,17,17,8.888888972992492,9.000000286614522,1.666666674776934,2.000000011641532,7.083333398438602,7.999999945051968,85,0.023487941083444257
location,0.02418207681365576,0.009411764705882352,0.01373283395755306,17,16,703,1700,26,26,20.764705925636328,17.999999448657036,50.87499975864921,12.500000023748726,35.3636362689153,14.000000398606062,1167,0.37439556764237886
content_access,0.07396870554765292,0.00411764705882353,0.02455264253017062,52,7,703,1700,59,59,14.46153836979871,7.500000119696779,69.00000145758635,15.999999319203198,20.93220348190911,7.999999877574737,1235,0.05352597549113618
notifications,0.021337126600284494,0.03058823529411765,0.027881814398668332,15,52,703,1700,18,18,4.266666720326369,3.000000088883098,5.134615478709188,1.0000000015716068,4.940298592504079,1.0000000123400241,331,0.01671302786187987
media,0.034139402560455195,0.1011764705882353,0.08156471077819392,24,172,703,1700,30,30,27.458333439067548,10.00000025081681,18.598837172084956,2.000000019557774,19.68367344967466,2.000000048428774,3858,0.7216672494815585
database,0.17780938833570412,0.06588235294117648,0.0986267166042447,125,112,703,1700,95,95,174.92799705537507,22.000000655651093,113.4374994162164,11.499999632360414,145.86919648328322,20.0,34571,2.3938761235969777
device_info,0.16500711237553342,0.14352941176470588,0.149812734082397,116,244,703,1700,101,101,13.48275864353472,5.999999886844307,44.27049203897516,3.9999999592546374,34.35000016711102,4.000000098603778,12366,3.343615231383049
process,0.30014224751066854,0.3135294117647059,0.3096129837702871,211,533,703,1700,175,175,34.35071114980841,12.000000089406967,29.998123870736595,5.999999856110662,31.232526983484114,6.9999999245628715,23237,4.004773916940984
network,0.3314366998577525,0.3058823529411765,0.31335830212234705,233,520,703,1700,204,204,257.6995698819496,55.999999947845936,293.41154052388333,143.0000036843121,282.3612229148919,119.00000405311584,212618,1.5081147701113318
webview,0.28591749644381226,0.37941176470588234,0.352059925093633,201,645,703,1700,171,171,365.34328519272856,30.00000075995922,638.7612408285258,584.9999770224094,573.8002371845598,514.0000163838267,485435,0.5659120784544817
storage,0.46088193456614507,0.4047058823529412,0.4211402413649605,324,688,703,1700,265,265,46.17592621056974,11.000000093132257,24.738372167393695,12.999999492662027,31.601778797817648,12.000000038184226,31981,1.169083573834535
crypto,0.5746799431009957,0.7170588235294117,0.6754057428214731,404,1219,703,1700,309,309,2058.997532898937,79.9999983664602,943.8113199519971,183.00000578165054,1221.4054234828436,108.00000268220901,1982341,4.372421798217904
ipc_intents,0.6856330014224751,0.7211764705882353,0.7107781939242613,482,1226,703,1700,413,413,82.45228262935115,32.00000023841858,122.19657410891907,63.499999314546585,110.9806792066054,51.0000019017607,189555,49.8641454634735
package_manager,0.7425320056899004,0.7023529411764706,0.714107365792759,522,1194,703,1700,405,405,65.28352556081816,24.500000396743417,103.09547753967628,89.00000252574682,91.5932403992544,48.00000087637454,157174,8.35355499345386
file_io,0.635846372688478,0.7741176470588236,0.7336662505201831,447,1316,703,1700,378,378,633.8299796726435,51.0,430.8221871322004,158.49999989569187,482.29381689146186,121.0000034943223,850284,3.458347316769819
native_code,0.7709815078236131,0.8541176470588235,0.8297960882230545,542,1452,703,1700,436,436,144.4206644022802,28.999999031424522,436.3340290088119,82.00000230967999,356.98746751596326,75.99999916926026,711833,4.185406347579723
