category,frac_nonzero_sessions,n_nonzero_sessions,n_sessions,n_distinct_values_session_counts,n_distinct_nonzero_session_counts,mean_count_nonzero_sessions,median_count_nonzero_sessions,total_mapped_events
accounts,0.0,0,342,1,0,0.0,0.0,0
clipboard,0.0,0,342,1,0,0.0,0.0,0
device_info,0.0,0,342,1,0,0.0,0.0,0
dynamic_code_loading,0.0,0,342,1,0,0.0,0.0,0
media,0.0,0,342,1,0,0.0,0.0,0
sms,0.0,0,342,1,0,0.0,0.0,0
telephony,0.0,0,342,1,0,0.0,0.0,0
camera,0.008771929824561403,3,342,2,1,1.0,1.0,3
package_manager,0.023391812865497075,8,342,2,1,1.0,1.0,8
location,0.02631578947368421,9,342,4,3,15.11111111111111,14.0,136
process,0.02631578947368421,9,342,8,7,373.0,419.0,3357
audio,0.04678362573099415,16,342,5,4,5.125,7.0,82
notifications,0.049707602339181284,17,342,9,8,29.058823529411764,36.0,494
content_access,0.07017543859649122,24,342,22,21,317.5833333333333,145.0,7622
webview,0.0847953216374269,29,342,13,12,20.517241379310345,16.0,595
native_code,0.14912280701754385,51,342,9,8,3.215686274509804,3.0,164
database,0.16374269005847952,56,342,23,22,55.44642857142857,27.0,3105
crypto,0.17251461988304093,59,342,29,28,167.98305084745763,88.0,9911
network,0.1871345029239766,64,342,18,17,19.703125,5.0,1261
ipc_intents,0.34502923976608185,118,342,29,28,15.686440677966102,9.0,1851
file_io,0.7660818713450293,262,342,44,43,37.099236641221374,5.0,9720
storage,0.8216374269005848,281,342,100,99,158.2099644128114,39.0,44457
